empresa,segmento,estado,area_atuacao_km2,clientes_milhoes,ano_entrada_grupo
Equatorial Maranhão,Distribuição de Energia,MA,,2.4,
Equatorial Pará,Distribuição de Energia,PA,1248000,3.1,2012
Equatorial Piauí,Distribuição de Energia,PI,251000,1.3,2018
Equatorial Alagoas,Distribuição de Energia,AL,27000,1.1,2019
CEEE-D,Distribuição de Energia,RS,,,2021
Equatorial Goiás,Distribuição de Energia,GO,,,
CEA,Distribuição de Energia,AP,,,2021
CSA,Saneamento Básico,AP,,,2021
Intesa,Transmissão de Energia,,,,
Equatorial Transmissão,Transmissão de Energia,,,,
Enova,Geração de Energia,,,,
Helios Energia,Geração de Energia,,,,2011
Echoenergia,Geração de Energia,,,,2021
Equatorial Telecom,Serviços,,,,
Equatorial Serviços,Serviços,,,,
Equatorial Engenharia,Serviços,,,,
Eqtprev,Serviços,,,,
Teqs,Serviços,,,,
